x,t = 15s,t = 30s,t = 60s,t = 90s,t = 150s,t = 210s
0.00038,30.1081,30.0194,29.9606,29.9531,29.9521,29.952
0.000384,30.105,30.0164,29.9576,29.9501,29.949,29.949
0.000388,30.102,30.0134,29.9545,29.947,29.946,29.946
0.000392,30.0989,30.0103,29.9515,29.944,29.9429,29.9429
0.000396,30.0959,30.0073,29.9485,29.941,29.9399,29.9399
0.0004,30.0929,30.0042,29.9454,29.9379,29.9369,29.9368
0.000404,30.0898,30.0012,29.9424,29.9349,29.9338,29.9338
0.000408,30.0868,29.9982,29.9394,29.9319,29.9308,29.9308
0.000412,30.0838,29.9951,29.9363,29.9288,29.9277,29.9277
0.000416,30.0807,29.9921,29.9333,29.9258,29.9247,29.9247
0.00042,30.0777,29.989,29.9302,29.9227,29.9217,29.9217
0.000424,30.0746,29.986,29.9272,29.9197,29.9186,29.9186
0.000428,30.0716,29.983,29.9242,29.9167,29.9156,29.9156
0.000432,30.0686,29.9799,29.9211,29.9136,29.9126,29.9125
0.000436,30.0655,29.9769,29.9181,29.9106,29.9095,29.9095
0.00044,30.0625,29.9739,29.9151,29.9076,29.9065,29.9065
0.000444,30.0595,29.9708,29.912,29.9045,29.9034,29.9034
0.000448,30.0564,29.9678,29.909,29.9015,29.9004,29.9004
0.000452,30.0534,29.9647,29.9059,29.8984,29.8974,29.8974
0.000456,30.0503,29.9617,29.9029,29.8954,29.8943,29.8943
0.00046,30.0473,29.9587,29.8999,29.8924,29.8913,29.8913
0.000464,30.0443,29.9556,29.8968,29.8893,29.8883,29.8882
0.000468,30.0412,29.9526,29.8938,29.8863,29.8852,29.8852
0.000472,30.0382,29.9496,29.8908,29.8833,29.8822,29.8822
0.000476,30.0352,29.9465,29.8877,29.8802,29.8792,29.8791
0.00048,30.0321,29.9435,29.8847,29.8772,29.8761,29.8761
0.000484,30.0291,29.9405,29.8817,29.8742,29.8731,29.8731
0.000488,30.0261,29.9374,29.8786,29.8711,29.87,29.87
0.000492,30.023,29.9344,29.8756,29.8681,29.867,29.867
0.000496,30.02,29.9313,29.8725,29.865,29.864,29.864
0.0005,30.017,29.9283,29.8695,29.862,29.8609,29.8609
0.000504,30.0139,29.9253,29.8665,29.859,29.8579,29.8579
0.000508,30.0109,29.9222,29.8634,29.8559,29.8549,29.8548
0.000512,30.0078,29.9192,29.8604,29.8529,29.8518,29.8518
0.000516,30.0048,29.9162,29.8574,29.8499,29.8488,29.8488
0.00052,30.0018,29.9131,29.8543,29.8468,29.8458,29.8457
0.000524,29.9987,29.9101,29.8513,29.8438,29.8427,29.8427
0.000528,29.9957,29.9071,29.8483,29.8408,29.8397,29.8397
0.000532,29.9927,29.904,29.8452,29.8377,29.8367,29.8366
0.000536,29.9896,29.901,29.8422,29.8347,29.8336,29.8336
0.00054,29.9866,29.898,29.8392,29.8317,29.8306,29.8306
0.000544,29.9836,29.8949,29.8361,29.8286,29.8275,29.8275
0.000548,29.9805,29.8919,29.8331,29.8256,29.8245,29.8245
0.000552,29.9775,29.8889,29.8301,29.8226,29.8215,29.8215
0.000556,29.9745,29.8858,29.827,29.8195,29.8184,29.8184
0.00056,29.9714,29.8828,29.824,29.8165,29.8154,29.8154
0.000564,29.9684,29.8798,29.821,29.8135,29.8124,29.8124
0.000568,29.9654,29.8767,29.8179,29.8104,29.8093,29.8093
0.000572,29.9623,29.8737,29.8149,29.8074,29.8063,29.8063
0.000576,29.9593,29.8707,29.8119,29.8044,29.8033,29.8033
0.00058,29.9563,29.8676,29.8088,29.8013,29.8002,29.8002
0.000584,29.9532,29.8646,29.8058,29.7983,29.7972,29.7972
0.000588,29.9502,29.8615,29.8028,29.7953,29.7942,29.7942
0.000592,29.9472,29.8585,29.7997,29.7922,29.7911,29.7911
0.000596,29.9441,29.8555,29.7967,29.7892,29.7881,29.7881
0.0006,29.9411,29.8524,29.7937,29.7862,29.7851,29.7851
0.000604,29.9381,29.8494,29.7906,29.7831,29.782,29.782
0.000608,29.935,29.8464,29.7876,29.7801,29.779,29.779
0.000612,29.932,29.8433,29.7846,29.7771,29.776,29.776
0.000616,29.929,29.8403,29.7815,29.774,29.7729,29.7729
0.00062,29.9259,29.8373,29.7785,29.771,29.7699,29.7699
0.000624,29.9229,29.8343,29.7755,29.768,29.7669,29.7669
0.000628,29.9199,29.8312,29.7724,29.7649,29.7638,29.7638
0.000632,29.9168,29.8282,29.7694,29.7619,29.7608,29.7608
0.000636,29.9138,29.8252,29.7664,29.7589,29.7578,29.7578
0.00064,29.9108,29.8221,29.7633,29.7558,29.7548,29.7547
0.000644,29.9078,29.8191,29.7603,29.7528,29.7517,29.7517
0.000648,29.9047,29.8161,29.7573,29.7498,29.7487,29.7487
0.000652,29.9017,29.813,29.7542,29.7467,29.7457,29.7456
0.000656,29.8987,29.81,29.7512,29.7437,29.7426,29.7426
0.00066,29.8956,29.807,29.7482,29.7407,29.7396,29.7396
0.000664,29.8926,29.8039,29.7451,29.7376,29.7366,29.7365
0.000668,29.8896,29.8009,29.7421,29.7346,29.7335,29.7335
0.000672,29.8865,29.7979,29.7391,29.7316,29.7305,29.7305
0.000676,29.8835,29.7948,29.736,29.7285,29.7275,29.7275
0.00068,29.8805,29.7918,29.733,29.7255,29.7244,29.7244
0.000684,29.8774,29.7888,29.73,29.7225,29.7214,29.7214
0.000688,29.8744,29.7857,29.727,29.7195,29.7184,29.7184
0.000692,29.8714,29.7827,29.7239,29.7164,29.7153,29.7153
0.000696,29.8684,29.7797,29.7209,29.7134,29.7123,29.7123
0.0007,29.8653,29.7766,29.7179,29.7104,29.7093,29.7093
0.000704,29.8623,29.7736,29.7148,29.7073,29.7063,29.7062
0.000708,29.8593,29.7706,29.7118,29.7043,29.7032,29.7032
0.000712,29.8562,29.7676,29.7088,29.7013,29.7002,29.7002
0.000716,29.8532,29.7645,29.7057,29.6982,29.6972,29.6971
0.00072,29.8502,29.7615,29.7027,29.6952,29.6941,29.6941
0.000724,29.8471,29.7585,29.6997,29.6922,29.6911,29.6911
0.000728,29.8441,29.7554,29.6966,29.6892,29.6881,29.6881
0.000732,29.8411,29.7524,29.6936,29.6861,29.685,29.685
0.000736,29.8381,29.7494,29.6906,29.6831,29.682,29.682
0.00074,29.835,29.7463,29.6876,29.6801,29.679,29.679
0.000744,29.832,29.7433,29.6845,29.677,29.676,29.6759
0.000748,29.829,29.7403,29.6815,29.674,29.6729,29.6729
0.000752,29.8259,29.7373,29.6785,29.671,29.6699,29.6699
0.000756,29.8229,29.7342,29.6754,29.6679,29.6669,29.6669
0.00076,29.8199,29.7312,29.6724,29.6649,29.6638,29.6638
0.000764,29.8169,29.7282,29.6694,29.6619,29.6608,29.6608
0.000768,29.8138,29.7251,29.6664,29.6589,29.6578,29.6578
0.000772,29.8108,29.7221,29.6633,29.6558,29.6548,29.6547
0.000776,29.8078,29.7191,29.6603,29.6528,29.6517,29.6517
0.00078,29.8047,29.7161,29.6573,29.6498,29.6487,29.6487
0.000784,29.8017,29.713,29.6542,29.6467,29.6457,29.6457
0.000788,29.7987,29.71,29.6512,29.6437,29.6426,29.6426
0.000792,29.7957,29.707,29.6482,29.6407,29.6396,29.6396
0.000796,29.7926,29.7039,29.6452,29.6377,29.6366,29.6366
0.0008,29.7896,29.7009,29.6421,29.6346,29.6336,29.6335
0.000804,29.7866,29.6979,29.6391,29.6316,29.6305,29.6305
0.000808,29.7835,29.6949,29.6361,29.6286,29.6275,29.6275
0.000812,29.7805,29.6918,29.633,29.6255,29.6245,29.6245
0.000816,29.7775,29.6888,29.63,29.6225,29.6214,29.6214
0.00082,29.7745,29.6858,29.627,29.6195,29.6184,29.6184
0.000824,29.7714,29.6827,29.624,29.6165,29.6154,29.6154
0.000828,29.7684,29.6797,29.6209,29.6134,29.6124,29.6123
0.000832,29.7654,29.6767,29.6179,29.6104,29.6093,29.6093
0.000836,29.7624,29.6737,29.6149,29.6074,29.6063,29.6063
0.00084,29.7593,29.6706,29.6119,29.6044,29.6033,29.6033
0.000844,29.7563,29.6676,29.6088,29.6013,29.6003,29.6002
0.000848,29.7533,29.6646,29.6058,29.5983,29.5972,29.5972
0.000852,29.7503,29.6616,29.6028,29.5953,29.5942,29.5942
0.000856,29.7472,29.6585,29.5997,29.5923,29.5912,29.5912
0.00086,29.7442,29.6555,29.5967,29.5892,29.5881,29.5881
0.000864,29.7412,29.6525,29.5937,29.5862,29.5851,29.5851
0.000868,29.7382,29.6494,29.5907,29.5832,29.5821,29.5821
0.000872,29.7351,29.6464,29.5876,29.5801,29.5791,29.5791
0.000876,29.7321,29.6434,29.5846,29.5771,29.576,29.576
0.00088,29.7291,29.6404,29.5816,29.5741,29.573,29.573
0.000884,29.7261,29.6373,29.5786,29.5711,29.57,29.57
0.000888,29.723,29.6343,29.5755,29.568,29.567,29.5669
0.000892,29.72,29.6313,29.5725,29.565,29.5639,29.5639
0.000896,29.717,29.6283,29.5695,29.562,29.5609,29.5609
0.0009,29.714,29.6252,29.5665,29.559,29.5579,29.5579
0.000904,29.7109,29.6222,29.5634,29.5559,29.5549,29.5548
0.000908,29.7079,29.6192,29.5604,29.5529,29.5518,29.5518
0.000912,29.7049,29.6162,29.5574,29.5499,29.5488,29.5488
0.000916,29.7019,29.6131,29.5544,29.5469,29.5458,29.5458
0.00092,29.6988,29.6101,29.5513,29.5438,29.5428,29.5427
0.000924,29.6958,29.6071,29.5483,29.5408,29.5397,29.5397
0.000928,29.6928,29.6041,29.5453,29.5378,29.5367,29.5367
0.000932,29.6898,29.601,29.5423,29.5348,29.5337,29.5337
0.000936,29.6867,29.598,29.5392,29.5317,29.5307,29.5306
0.00094,29.6837,29.595,29.5362,29.5287,29.5276,29.5276
0.000944,29.6807,29.592,29.5332,29.5257,29.5246,29.5246
0.000948,29.6777,29.5889,29.5302,29.5227,29.5216,29.5216
0.000952,29.6746,29.5859,29.5271,29.5196,29.5186,29.5186
0.000956,29.6716,29.5829,29.5241,29.5166,29.5155,29.5155
0.00096,29.6686,29.5799,29.5211,29.5136,29.5125,29.5125
0.000964,29.6656,29.5768,29.5181,29.5106,29.5095,29.5095
0.000968,29.6625,29.5738,29.515,29.5075,29.5065,29.5065
0.000972,29.6595,29.5708,29.512,29.5045,29.5034,29.5034
0.000976,29.6565,29.5678,29.509,29.5015,29.5004,29.5004
0.00098,29.6535,29.5647,29.506,29.4985,29.4974,29.4974
0.000984,29.6505,29.5617,29.503,29.4955,29.4944,29.4944
0.000988,29.6474,29.5587,29.4999,29.4924,29.4914,29.4913
0.000992,29.6444,29.5557,29.4969,29.4894,29.4883,29.4883
0.000996,29.6414,29.5526,29.4939,29.4864,29.4853,29.4853
0.001,29.6384,29.5496,29.4909,29.4834,29.4823,29.4823
0.001004,29.6353,29.5466,29.4878,29.4803,29.4793,29.4792
0.001008,29.6323,29.5436,29.4848,29.4773,29.4762,29.4762
0.001012,29.6293,29.5406,29.4818,29.4743,29.4732,29.4732
0.001016,29.6263,29.5375,29.4788,29.4713,29.4702,29.4702
0.00102,29.6233,29.5345,29.4757,29.4682,29.4672,29.4672
0.001024,29.6202,29.5315,29.4727,29.4652,29.4642,29.4641
0.001028,29.6172,29.5285,29.4697,29.4622,29.4611,29.4611
0.001032,29.6142,29.5254,29.4667,29.4592,29.4581,29.4581
0.001036,29.6112,29.5224,29.4637,29.4562,29.4551,29.4551
0.00104,29.6081,29.5194,29.4606,29.4531,29.4521,29.452
0.001044,29.6051,29.5164,29.4576,29.4501,29.449,29.449
0.001048,29.6021,29.5134,29.4546,29.4471,29.446,29.446
0.001052,29.5991,29.5103,29.4516,29.4441,29.443,29.443
0.001056,29.5961,29.5073,29.4485,29.4411,29.44,29.44
0.00106,29.593,29.5043,29.4455,29.438,29.437,29.4369
0.001064,29.59,29.5013,29.4425,29.435,29.4339,29.4339
0.001068,29.587,29.4982,29.4395,29.432,29.4309,29.4309
0.001072,29.584,29.4952,29.4365,29.429,29.4279,29.4279
0.001076,29.581,29.4922,29.4334,29.4259,29.4249,29.4249
0.00108,29.5779,29.4892,29.4304,29.4229,29.4218,29.4218
0.001084,29.5749,29.4862,29.4274,29.4199,29.4188,29.4188
0.001088,29.5719,29.4831,29.4244,29.4169,29.4158,29.4158
0.001092,29.5689,29.4801,29.4214,29.4139,29.4128,29.4128
0.001096,29.5659,29.4771,29.4183,29.4108,29.4098,29.4097
0.0011,29.5628,29.4741,29.4153,29.4078,29.4067,29.4067
0.001104,29.5598,29.4711,29.4123,29.4048,29.4037,29.4037
0.001108,29.5568,29.468,29.4093,29.4018,29.4007,29.4007
0.001112,29.5538,29.465,29.4063,29.3988,29.3977,29.3977
0.001116,29.5508,29.462,29.4032,29.3957,29.3947,29.3946
0.00112,29.5477,29.459,29.4002,29.3927,29.3916,29.3916
0.001124,29.5447,29.456,29.3972,29.3897,29.3886,29.3886
0.001128,29.5417,29.4529,29.3942,29.3867,29.3856,29.3856
0.001132,29.5387,29.4499,29.3912,29.3837,29.3826,29.3826
0.001136,29.5357,29.4469,29.3881,29.3806,29.3796,29.3795
0.00114,29.5327,29.4439,29.3851,29.3776,29.3765,29.3765
0.001144,29.5296,29.4409,29.3821,29.3746,29.3735,29.3735
0.001148,29.5266,29.4378,29.3791,29.3716,29.3705,29.3705
0.001152,29.5236,29.4348,29.3761,29.3686,29.3675,29.3675
0.001156,29.5206,29.4318,29.373,29.3655,29.3645,29.3645
0.00116,29.5176,29.4288,29.37,29.3625,29.3615,29.3614
0.001164,29.5145,29.4258,29.367,29.3595,29.3584,29.3584
0.001168,29.5115,29.4227,29.364,29.3565,29.3554,29.3554
0.001172,29.5085,29.4197,29.361,29.3535,29.3524,29.3524
0.001176,29.5055,29.4167,29.3579,29.3505,29.3494,29.3494
0.00118,29.5025,29.4137,29.3549,29.3474,29.3464,29.3463
0.001184,29.4995,29.4107,29.3519,29.3444,29.3433,29.3433
0.001188,29.4964,29.4076,29.3489,29.3414,29.3403,29.3403
0.001192,29.4934,29.4046,29.3459,29.3384,29.3373,29.3373
0.001196,29.4904,29.4016,29.3429,29.3354,29.3343,29.3343
0.0012,29.4874,29.3986,29.3398,29.3323,29.3313,29.3313
0.001204,29.4844,29.3956,29.3368,29.3293,29.3283,29.3282
0.001208,29.4813,29.3925,29.3338,29.3263,29.3252,29.3252
0.001212,29.4783,29.3895,29.3308,29.3233,29.3222,29.3222
0.001216,29.4753,29.3865,29.3278,29.3203,29.3192,29.3192
0.00122,29.4723,29.3835,29.3247,29.3173,29.3162,29.3162
0.001224,29.4693,29.3805,29.3217,29.3142,29.3132,29.3131
0.001228,29.4663,29.3775,29.3187,29.3112,29.3101,29.3101
0.001232,29.4633,29.3744,29.3157,29.3082,29.3071,29.3071
0.001236,29.4602,29.3714,29.3127,29.3052,29.3041,29.3041
0.00124,29.4572,29.3684,29.3097,29.3022,29.3011,29.3011
0.001244,29.4542,29.3654,29.3066,29.2992,29.2981,29.2981
0.001248,29.4512,29.3624,29.3036,29.2961,29.2951,29.295
0.001252,29.4482,29.3594,29.3006,29.2931,29.292,29.292
0.001256,29.4452,29.3563,29.2976,29.2901,29.289,29.289
0.00126,29.4421,29.3533,29.2946,29.2871,29.286,29.286
0.001264,29.4391,29.3503,29.2916,29.2841,29.283,29.283
0.001268,29.4361,29.3473,29.2885,29.2811,29.28,29.28
0.001272,29.4331,29.3443,29.2855,29.278,29.277,29.2769
0.001276,29.4301,29.3413,29.2825,29.275,29.2739,29.2739
0.00128,29.4271,29.3382,29.2795,29.272,29.2709,29.2709
0.001284,29.424,29.3352,29.2765,29.269,29.2679,29.2679
0.001288,29.421,29.3322,29.2735,29.266,29.2649,29.2649
0.001292,29.418,29.3292,29.2704,29.263,29.2619,29.2619
0.001296,29.415,29.3262,29.2674,29.2599,29.2589,29.2588
0.0013,29.412,29.3232,29.2644,29.2569,29.2559,29.2558
0.001304,29.409,29.3201,29.2614,29.2539,29.2528,29.2528
0.001308,29.406,29.3171,29.2584,29.2509,29.2498,29.2498
0.001312,29.4029,29.3141,29.2554,29.2479,29.2468,29.2468
0.001316,29.3999,29.3111,29.2524,29.2449,29.2438,29.2438
0.00132,29.3969,29.3081,29.2493,29.2419,29.2408,29.2408
0.001324,29.3939,29.3051,29.2463,29.2388,29.2378,29.2377
0.001328,29.3909,29.302,29.2433,29.2358,29.2347,29.2347
0.001332,29.3879,29.299,29.2403,29.2328,29.2317,29.2317
0.001336,29.3849,29.296,29.2373,29.2298,29.2287,29.2287
0.00134,29.3818,29.293,29.2343,29.2268,29.2257,29.2257
0.001344,29.3788,29.29,29.2313,29.2238,29.2227,29.2227
0.001348,29.3758,29.287,29.2282,29.2207,29.2197,29.2197
0.001352,29.3728,29.284,29.2252,29.2177,29.2167,29.2166
0.001356,29.3698,29.2809,29.2222,29.2147,29.2136,29.2136
0.00136,29.3668,29.2779,29.2192,29.2117,29.2106,29.2106
0.001364,29.3638,29.2749,29.2162,29.2087,29.2076,29.2076
0.001368,29.3608,29.2719,29.2132,29.2057,29.2046,29.2046
0.001372,29.3577,29.2689,29.2102,29.2027,29.2016,29.2016
0.001376,29.3547,29.2659,29.2071,29.1997,29.1986,29.1986
0.00138,29.3517,29.2629,29.2041,29.1966,29.1956,29.1955
0.001384,29.3487,29.2598,29.2011,29.1936,29.1925,29.1925
0.001388,29.3457,29.2568,29.1981,29.1906,29.1895,29.1895
0.001392,29.3427,29.2538,29.1951,29.1876,29.1865,29.1865
0.001396,29.3397,29.2508,29.1921,29.1846,29.1835,29.1835
0.0014,29.3367,29.2478,29.1891,29.1816,29.1805,29.1805
0.001404,29.3336,29.2448,29.186,29.1786,29.1775,29.1775
0.001408,29.3306,29.2418,29.183,29.1755,29.1745,29.1745
0.001412,29.3276,29.2387,29.18,29.1725,29.1715,29.1714
0.001416,29.3246,29.2357,29.177,29.1695,29.1684,29.1684
0.00142,29.3216,29.2327,29.174,29.1665,29.1654,29.1654
0.001424,29.3186,29.2297,29.171,29.1635,29.1624,29.1624
0.001428,29.3156,29.2267,29.168,29.1605,29.1594,29.1594
0.001432,29.3126,29.2237,29.165,29.1575,29.1564,29.1564
0.001436,29.3095,29.2207,29.1619,29.1545,29.1534,29.1534
0.00144,29.3065,29.2177,29.1589,29.1514,29.1504,29.1504
0.001444,29.3035,29.2146,29.1559,29.1484,29.1474,29.1473
0.001448,29.3005,29.2116,29.1529,29.1454,29.1443,29.1443
0.001452,29.2975,29.2086,29.1499,29.1424,29.1413,29.1413
0.001456,29.2945,29.2056,29.1469,29.1394,29.1383,29.1383
0.00146,29.2915,29.2026,29.1439,29.1364,29.1353,29.1353
0.001464,29.2885,29.1996,29.1409,29.1334,29.1323,29.1323
0.001468,29.2855,29.1966,29.1379,29.1304,29.1293,29.1293
0.001472,29.2825,29.1936,29.1348,29.1274,29.1263,29.1263
0.001476,29.2794,29.1905,29.1318,29.1243,29.1233,29.1232
0.00148,29.2764,29.1875,29.1288,29.1213,29.1203,29.1202
0.001484,29.2734,29.1845,29.1258,29.1183,29.1172,29.1172
0.001488,29.2704,29.1815,29.1228,29.1153,29.1142,29.1142
0.001492,29.2674,29.1785,29.1198,29.1123,29.1112,29.1112
0.001496,29.2644,29.1755,29.1168,29.1093,29.1082,29.1082
0.0015,29.2614,29.1725,29.1138,29.1063,29.1052,29.1052
0.001504,29.2584,29.1695,29.1108,29.1033,29.1022,29.1022
0.001508,29.2554,29.1665,29.1077,29.1003,29.0992,29.0992
0.001512,29.2524,29.1634,29.1047,29.0972,29.0962,29.0962
0.001516,29.2493,29.1604,29.1017,29.0942,29.0932,29.0931
0.00152,29.2463,29.1574,29.0987,29.0912,29.0901,29.0901
0.001524,29.2433,29.1544,29.0957,29.0882,29.0871,29.0871
0.001528,29.2403,29.1514,29.0927,29.0852,29.0841,29.0841
0.001532,29.2373,29.1484,29.0897,29.0822,29.0811,29.0811
0.001536,29.2343,29.1454,29.0867,29.0792,29.0781,29.0781
0.00154,29.2313,29.1424,29.0837,29.0762,29.0751,29.0751
0.001544,29.2283,29.1394,29.0807,29.0732,29.0721,29.0721
0.001548,29.2253,29.1363,29.0776,29.0702,29.0691,29.0691
0.001552,29.2223,29.1333,29.0746,29.0671,29.0661,29.0661
0.001556,29.2193,29.1303,29.0716,29.0641,29.0631,29.063
0.00156,29.2162,29.1273,29.0686,29.0611,29.0601,29.06
0.001564,29.2132,29.1243,29.0656,29.0581,29.057,29.057
0.001568,29.2102,29.1213,29.0626,29.0551,29.054,29.054
0.001572,29.2072,29.1183,29.0596,29.0521,29.051,29.051
0.001576,29.2042,29.1153,29.0566,29.0491,29.048,29.048
0.00158,29.2012,29.1123,29.0536,29.0461,29.045,29.045
0.001584,29.1982,29.1093,29.0506,29.0431,29.042,29.042
0.001588,29.1952,29.1063,29.0476,29.0401,29.039,29.039
0.001592,29.1922,29.1032,29.0445,29.0371,29.036,29.036
0.001596,29.1892,29.1002,29.0415,29.034,29.033,29.033
0.0016,29.1862,29.0972,29.0385,29.031,29.03,29.0299
0.001604,29.1832,29.0942,29.0355,29.028,29.027,29.0269
0.001608,29.1802,29.0912,29.0325,29.025,29.0239,29.0239
